Measure,interval_start,interval_end,sex,age_band,numerator,denominator,ratio
ADHD_recorded_prevalence,2018-04-01,2019-03-31,male,45 to 54,1650,1639095,0.001006653061598016
ADHD_recorded_prevalence,2019-04-01,2020-03-31,male,75 and over,60,788150,7.6127640677536e-05
ADHD_recorded_prevalence,2019-04-01,2020-03-31,female,18 to 24,5910,816180,0.0072410497684334335
ADHD_recorded_prevalence,2019-04-01,2020-03-31,male,18 to 24,24895,892360,0.02789793356941145
ADHD_recorded_prevalence,2019-04-01,2020-03-31,female,10 to 17,8080,1003915,0.008048490161019608
ADHD_recorded_prevalence,2019-04-01,2020-03-31,female,75 and over,95,1034475,9.1834022088499e-05
ADHD_recorded_prevalence,2019-04-01,2020-03-31,male,10 to 17,32455,1066125,0.030442021338961192
ADHD_recorded_prevalence,2019-04-01,2020-03-31,male,65 to 74,195,1121895,0.00017381305737167917
ADHD_recorded_prevalence,2019-04-01,2020-03-31,female,65 to 74,145,1187510,0.000122104234911706
ADHD_recorded_prevalence,2019-04-01,2020-03-31,female,0 to 9,3095,1256835,0.002462534859388862
ADHD_recorded_prevalence,2019-04-01,2020-03-31,male,0 to 9,12780,1324385,0.009649761964987522
ADHD_recorded_prevalence,2019-04-01,2020-03-31,female,55 to 64,430,1396620,0.0003078861823545417
ADHD_recorded_prevalence,2019-04-01,2020-03-31,male,55 to 64,670,1420645,0.00047161676562406513
ADHD_recorded_prevalence,2019-04-01,2020-03-31,female,35 to 44,2040,1444190,0.0014125565195715246
ADHD_recorded_prevalence,2019-04-01,2020-03-31,female,25 to 34,5500,1474350,0.003730457489741242
ADHD_recorded_prevalence,2019-04-01,2020-03-31,male,35 to 44,4595,1530305,0.0030026694025047295
ADHD_recorded_prevalence,2019-04-01,2020-03-31,male,25 to 34,24110,1535155,0.015705254518273398
ADHD_recorded_prevalence,2019-04-01,2020-03-31,female,45 to 54,1210,1573265,0.0007691012003699314
ADHD_recorded_prevalence,2019-04-01,2020-03-31,male,45 to 54,1995,1638375,0.0012176699473563746
ADHD_recorded_prevalence,2020-04-01,2021-03-31,male,75 and over,75,806555,9.298807892828139e-05
ADHD_recorded_prevalence,2020-04-01,2021-03-31,female,18 to 24,7065,841460,0.008396121027737504
ADHD_recorded_prevalence,2020-04-01,2021-03-31,male,18 to 24,26565,916950,0.02897104531326681
ADHD_recorded_prevalence,2020-04-01,2021-03-31,female,10 to 17,9465,1049125,0.009021803884189205
ADHD_recorded_prevalence,2020-04-01,2021-03-31,female,75 and over,95,1049980,9.0477913865026e-05
ADHD_recorded_prevalence,2020-04-01,2021-03-31,male,10 to 17,36060,1110045,0.03248516952015459
ADHD_recorded_prevalence,2020-04-01,2021-03-31,male,65 to 74,220,1126320,0.00019532637261169118
ADHD_recorded_prevalence,2020-04-01,2021-03-31,female,65 to 74,165,1196650,0.00013788492875945347
ADHD_recorded_prevalence,2020-04-01,2021-03-31,female,0 to 9,3225,1267080,0.002545222085424756
ADHD_recorded_prevalence,2020-04-01,2021-03-31,male,0 to 9,12830,1334300,0.009615528741662294
ADHD_recorded_prevalence,2020-04-01,2021-03-31,female,55 to 64,555,1445600,0.00038392363032650805
ADHD_recorded_prevalence,2020-04-01,2021-03-31,male,55 to 64,815,1469045,0.0005547821884285369
ADHD_recorded_prevalence,2020-04-01,2021-03-31,female,35 to 44,2750,1490030,0.0018456004241525338
ADHD_recorded_prevalence,2020-04-01,2021-03-31,female,25 to 34,7120,1513010,0.004705851250156972
ADHD_recorded_prevalence,2020-04-01,2021-03-31,female,45 to 54,1585,1570635,0.0010091459823574542
ADHD_recorded_prevalence,2020-04-01,2021-03-31,male,35 to 44,6085,1578920,0.003853900134268994
ADHD_recorded_prevalence,2020-04-01,2021-03-31,male,25 to 34,28375,1581335,0.017943699469119445
ADHD_recorded_prevalence,2020-04-01,2021-03-31,male,45 to 54,2455,1634850,0.0015016668195858948
ADHD_recorded_prevalence,2021-04-01,2022-03-31,female,18 to 24,9015,818780,0.011010283592662254
ADHD_recorded_prevalence,2021-04-01,2022-03-31,male,75 and over,85,824335,0.00010311341869506937
ADHD_recorded_prevalence,2021-04-01,2022-03-31,male,18 to 24,27425,890995,0.0307801951750571
ADHD_recorded_prevalence,2021-04-01,2022-03-31,female,10 to 17,11625,1064225,0.0109234419413188
ADHD_recorded_prevalence,2021-04-01,2022-03-31,female,75 and over,90,1067040,8.434547908232118e-05
ADHD_recorded_prevalence,2021-04-01,2022-03-31,male,10 to 17,40600,1127300,0.03601525769537834
ADHD_recorded_prevalence,2021-04-01,2022-03-31,male,65 to 74,265,1129905,0.00023453299171169258
ADHD_recorded_prevalence,2021-04-01,2022-03-31,female,65 to 74,210,1199760,0.00017503500700140028
ADHD_recorded_prevalence,2021-04-01,2022-03-31,female,0 to 9,3670,1226960,0.002991132555258525
ADHD_recorded_prevalence,2021-04-01,2022-03-31,male,0 to 9,13560,1291580,0.010498768949658557
ADHD_recorded_prevalence,2021-04-01,2022-03-31,female,55 to 64,755,1475245,0.0005117793993540056
ADHD_recorded_prevalence,2021-04-01,2022-03-31,female,25 to 34,9730,1496030,0.006503880269780687
ADHD_recorded_prevalence,2021-04-01,2022-03-31,male,55 to 64,1065,1499400,0.0007102841136454582
ADHD_recorded_prevalence,2021-04-01,2022-03-31,female,35 to 44,4060,1503915,0.0026996206567525423
