Measure,Year_of_medication,Sex,Age_Band,Median,size
Median_time_ADHD_diagnosis_to_medication,2020-2021,female,35 and over,15,650
Median_time_ADHD_diagnosis_to_medication,2020-2021,male,35 and over,14,780
Median_time_ADHD_diagnosis_to_medication,2021-2022,female,35 and over,18,1160
Median_time_ADHD_diagnosis_to_medication,2021-2022,male,35 and over,19,1140
Median_time_ADHD_diagnosis_to_medication,2022-2023,female,35 and over,18,2030
Median_time_ADHD_diagnosis_to_medication,2022-2023,male,35 and over,18,1620
Median_time_ADHD_diagnosis_to_medication,2023-2024,female,35 and over,25,3000
Median_time_ADHD_diagnosis_to_medication,2023-2024,male,35 and over,25,2170
Median_time_ADHD_diagnosis_to_medication,2024-2025,female,35 and over,28,3810
Median_time_ADHD_diagnosis_to_medication,2024-2025,male,35 and over,26,2800
Median_time_ADHD_diagnosis_to_medication,2016-2017,ALL,0 to 9,13,2350
Median_time_ADHD_diagnosis_to_medication,2017-2018,ALL,0 to 9,14,2540
Median_time_ADHD_diagnosis_to_medication,2018-2019,ALL,0 to 9,13,3000
Median_time_ADHD_diagnosis_to_medication,2019-2020,ALL,0 to 9,17,3480
Median_time_ADHD_diagnosis_to_medication,2020-2021,ALL,0 to 9,17,2440
Median_time_ADHD_diagnosis_to_medication,2021-2022,ALL,0 to 9,20,3030
Median_time_ADHD_diagnosis_to_medication,2022-2023,ALL,0 to 9,21,3500
Median_time_ADHD_diagnosis_to_medication,2023-2024,ALL,0 to 9,21,3580
Median_time_ADHD_diagnosis_to_medication,2024-2025,ALL,0 to 9,25,3550
Median_time_ADHD_diagnosis_to_medication,2016-2017,ALL,10 to 17,18,2940
Median_time_ADHD_diagnosis_to_medication,2017-2018,ALL,10 to 17,15,3230
Median_time_ADHD_diagnosis_to_medication,2018-2019,ALL,10 to 17,15,3940
Median_time_ADHD_diagnosis_to_medication,2019-2020,ALL,10 to 17,17,4760
Median_time_ADHD_diagnosis_to_medication,2020-2021,ALL,10 to 17,21,3910
Median_time_ADHD_diagnosis_to_medication,2021-2022,ALL,10 to 17,24,5300
Median_time_ADHD_diagnosis_to_medication,2022-2023,ALL,10 to 17,26,6820
Median_time_ADHD_diagnosis_to_medication,2023-2024,ALL,10 to 17,29,7380
Median_time_ADHD_diagnosis_to_medication,2024-2025,ALL,10 to 17,36,8120
Median_time_ADHD_diagnosis_to_medication,2016-2017,ALL,18 to 24,22,840
Median_time_ADHD_diagnosis_to_medication,2017-2018,ALL,18 to 24,16,850
Median_time_ADHD_diagnosis_to_medication,2018-2019,ALL,18 to 24,13,1050
Median_time_ADHD_diagnosis_to_medication,2019-2020,ALL,18 to 24,12,1450
Median_time_ADHD_diagnosis_to_medication,2020-2021,ALL,18 to 24,13,1540
Median_time_ADHD_diagnosis_to_medication,2021-2022,ALL,18 to 24,16,2590
Median_time_ADHD_diagnosis_to_medication,2022-2023,ALL,18 to 24,19,3750
Median_time_ADHD_diagnosis_to_medication,2023-2024,ALL,18 to 24,28,4070
Median_time_ADHD_diagnosis_to_medication,2024-2025,ALL,18 to 24,30,3930
Median_time_ADHD_diagnosis_to_medication,2016-2017,ALL,25 to 34,18,660
Median_time_ADHD_diagnosis_to_medication,2017-2018,ALL,25 to 34,22,710
Median_time_ADHD_diagnosis_to_medication,2018-2019,ALL,25 to 34,19,1040
Median_time_ADHD_diagnosis_to_medication,2019-2020,ALL,25 to 34,19,1380
Median_time_ADHD_diagnosis_to_medication,2020-2021,ALL,25 to 34,17,1710
Median_time_ADHD_diagnosis_to_medication,2021-2022,ALL,25 to 34,19,2750
Median_time_ADHD_diagnosis_to_medication,2022-2023,ALL,25 to 34,21,4400
Median_time_ADHD_diagnosis_to_medication,2023-2024,ALL,25 to 34,30,5450
Median_time_ADHD_diagnosis_to_medication,2024-2025,ALL,25 to 34,31,6050
Median_time_ADHD_diagnosis_to_medication,2016-2017,ALL,35 and over,13,480
Median_time_ADHD_diagnosis_to_medication,2017-2018,ALL,35 and over,13,580
Median_time_ADHD_diagnosis_to_medication,2018-2019,ALL,35 and over,11,880
Median_time_ADHD_diagnosis_to_medication,2019-2020,ALL,35 and over,13,1220
Median_time_ADHD_diagnosis_to_medication,2020-2021,ALL,35 and over,14,1420
Median_time_ADHD_diagnosis_to_medication,2021-2022,ALL,35 and over,18,2290
Median_time_ADHD_diagnosis_to_medication,2022-2023,ALL,35 and over,18,3640
Median_time_ADHD_diagnosis_to_medication,2023-2024,ALL,35 and over,25,5160
Median_time_ADHD_diagnosis_to_medication,2024-2025,ALL,35 and over,27,6600
Median_time_ADHD_diagnosis_to_medication,2016-2017,female,ALL,14,1760
Median_time_ADHD_diagnosis_to_medication,2016-2017,male,ALL,16,5510
Median_time_ADHD_diagnosis_to_medication,2017-2018,female,ALL,14,1920
Median_time_ADHD_diagnosis_to_medication,2017-2018,male,ALL,15,5980
