Measure,Reporting_Period_Start_Date,Reporting_Period_End_Date,Sex,Age_Band,Numerator,Denominator,Percentage
ADHD_medication_with_ADHD_diagnosis,01/04/2018,31/03/2019,male,25 to 34,9530,20530,46.41987336
ADHD_medication_with_ADHD_diagnosis,01/04/2018,31/03/2019,male,18 to 24,15480,23980,64.55379483
ADHD_medication_with_ADHD_diagnosis,01/04/2018,31/03/2019,male,10 to 17,20190,29125,69.32188841
ADHD_medication_with_ADHD_diagnosis,01/04/2019,31/03/2020,male,75 and over,10,60,16.66666667
ADHD_medication_with_ADHD_diagnosis,01/04/2019,31/03/2020,female,75 and over,0,95,0
ADHD_medication_with_ADHD_diagnosis,01/04/2019,31/03/2020,female,65 to 74,40,145,27.5862069
ADHD_medication_with_ADHD_diagnosis,01/04/2019,31/03/2020,male,65 to 74,70,195,35.8974359
ADHD_medication_with_ADHD_diagnosis,01/04/2019,31/03/2020,female,55 to 64,180,430,41.86046512
ADHD_medication_with_ADHD_diagnosis,01/04/2019,31/03/2020,male,55 to 64,270,670,40.29850746
ADHD_medication_with_ADHD_diagnosis,01/04/2019,31/03/2020,female,45 to 54,605,1210,50
ADHD_medication_with_ADHD_diagnosis,01/04/2019,31/03/2020,male,45 to 54,955,1995,47.86967419
ADHD_medication_with_ADHD_diagnosis,01/04/2019,31/03/2020,female,35 to 44,1030,2040,50.49019608
ADHD_medication_with_ADHD_diagnosis,01/04/2019,31/03/2020,female,0 to 9,1355,3095,43.78029079
ADHD_medication_with_ADHD_diagnosis,01/04/2019,31/03/2020,male,35 to 44,1920,4595,41.78454842
ADHD_medication_with_ADHD_diagnosis,01/04/2019,31/03/2020,female,25 to 34,2470,5500,44.90909091
ADHD_medication_with_ADHD_diagnosis,01/04/2019,31/03/2020,female,18 to 24,3545,5910,59.98307953
ADHD_medication_with_ADHD_diagnosis,01/04/2019,31/03/2020,female,10 to 17,5080,8080,62.87128713
ADHD_medication_with_ADHD_diagnosis,01/04/2019,31/03/2020,male,0 to 9,6375,12780,49.88262911
ADHD_medication_with_ADHD_diagnosis,01/04/2019,31/03/2020,male,25 to 34,11890,24110,49.31563667
ADHD_medication_with_ADHD_diagnosis,01/04/2019,31/03/2020,male,18 to 24,16515,24895,66.33862221
ADHD_medication_with_ADHD_diagnosis,01/04/2019,31/03/2020,male,10 to 17,22565,32455,69.52703744
ADHD_medication_with_ADHD_diagnosis,01/04/2020,31/03/2021,male,75 and over,15,75,20
ADHD_medication_with_ADHD_diagnosis,01/04/2020,31/03/2021,female,75 and over,10,95,10.52631579
ADHD_medication_with_ADHD_diagnosis,01/04/2020,31/03/2021,female,65 to 74,55,165,33.33333333
ADHD_medication_with_ADHD_diagnosis,01/04/2020,31/03/2021,male,65 to 74,70,220,31.81818182
ADHD_medication_with_ADHD_diagnosis,01/04/2020,31/03/2021,female,55 to 64,240,555,43.24324324
ADHD_medication_with_ADHD_diagnosis,01/04/2020,31/03/2021,male,55 to 64,350,815,42.94478528
ADHD_medication_with_ADHD_diagnosis,01/04/2020,31/03/2021,female,45 to 54,835,1585,52.68138801
ADHD_medication_with_ADHD_diagnosis,01/04/2020,31/03/2021,male,45 to 54,1235,2455,50.30549898
ADHD_medication_with_ADHD_diagnosis,01/04/2020,31/03/2021,female,35 to 44,1375,2750,50
ADHD_medication_with_ADHD_diagnosis,01/04/2020,31/03/2021,female,0 to 9,1380,3225,42.79069767
