DATASET,YEAR,CCG_ONS_CODE,CCG_ODS_CODE,CCG_NAME,INDICATOR,SEX,AGE_BAND,VALUE
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDO1_REG,ALL,ALL,67490
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDO2_REG,ALL,ALL,66157
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB001,ALL,ALL,66572
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB001,F,0 to 9,3203
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB001,F,10 to 13,1319
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB001,F,14 to 17,1390
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB001,F,18 to 24,2231
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB001,F,25 to 34,3567
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB001,F,35 to 44,3548
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB001,F,45 to 49,2261
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB001,F,50 to 54,2639
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB001,F,55 to 59,2671
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB001,F,60 to 64,2443
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB001,F,65 to 69,2353
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB001,F,70 to 74,2234
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB001,F,75 and over,4084
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB001,M,0 to 9,3444
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB001,M,10 to 13,1498
