DATASET,YEAR,CCG_ONS_CODE,CCG_ODS_CODE,CCG_NAME,INDICATOR,SEX,AGE_BAND,VALUE
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS Northumberland CCG,LDO1_REG,ALL,ALL,70594
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS Northumberland CCG,LDO2_REG,ALL,ALL,66563
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS Northumberland CCG,LDOB001,ALL,ALL,69684
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS Northumberland CCG,LDOB001,F,0 to 9,3361
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS Northumberland CCG,LDOB001,F,10 to 13,1430
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS Northumberland CCG,LDOB001,F,14 to 17,1500
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS Northumberland CCG,LDOB001,F,18 to 24,2237
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS Northumberland CCG,LDOB001,F,25 to 34,3764
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS Northumberland CCG,LDOB001,F,35 to 44,3770
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS Northumberland CCG,LDOB001,F,45 to 49,2228
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS Northumberland CCG,LDOB001,F,50 to 54,2667
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS Northumberland CCG,LDOB001,F,55 to 59,2802
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS Northumberland CCG,LDOB001,F,60 to 64,2578
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS Northumberland CCG,LDOB001,F,65 to 69,2425
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS Northumberland CCG,LDOB001,F,70 to 74,2357
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS Northumberland CCG,LDOB001,F,75 and over,4220
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS Northumberland CCG,LDOB001,M,0 to 9,3632
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS Northumberland CCG,LDOB001,M,10 to 13,1560
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS Northumberland CCG,LDOB001,M,14 to 17,1504
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS Northumberland CCG,LDOB001,M,18 to 24,2361
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS Northumberland CCG,LDOB001,M,25 to 34,3831
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS Northumberland CCG,LDOB001,M,35 to 44,3746
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS Northumberland CCG,LDOB001,M,45 to 49,2185
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS Northumberland CCG,LDOB001,M,50 to 54,2546
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS Northumberland CCG,LDOB001,M,55 to 59,2626
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS Northumberland CCG,LDOB001,M,60 to 64,2489
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS Northumberland CCG,LDOB001,M,65 to 69,2282
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS Northumberland CCG,LDOB001,M,70 to 74,2324
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS Northumberland CCG,LDOB001,M,75 and over,3259
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS Northumberland CCG,LDOB002,ALL,ALL,447
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS Northumberland CCG,LDOB002,F,0 to 9,4
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS Northumberland CCG,LDOB002,F,10 to 13,6
