DATASET,YEAR,GEOGRAPHY_CODE,SUB_ICB_LOC_CODE,SUB_ICB_LOC_NAME,INDICATOR,SEX,AGE_BAND,VALUE
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDO1_REG,ALL,ALL,71088
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDO2_REG,ALL,ALL,69681
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB001,ALL,ALL,70166
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB001,F,0 to 9,3348
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB001,F,10 to 13,1441
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB001,F,14 to 17,1465
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB001,F,18 to 24,2261
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB001,F,25 to 34,3743
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB001,F,35 to 44,3861
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB001,F,45 to 49,2185
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB001,F,50 to 54,2588
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB001,F,55 to 59,2806
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB001,F,60 to 64,2662
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB001,F,65 to 69,2419
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB001,F,70 to 74,2411
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB001,F,75 and over,4339
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB001,M,0 to 9,3621
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB001,M,10 to 13,1579
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB001,M,14 to 17,1483
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB001,M,18 to 24,2381
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB001,M,25 to 34,3842
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB001,M,35 to 44,3782
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB001,M,45 to 49,2201
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB001,M,50 to 54,2473
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB001,M,55 to 59,2701
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB001,M,60 to 64,2576
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB001,M,65 to 69,2284
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB001,M,70 to 74,2318
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB001,M,75 and over,3396
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB002,ALL,ALL,499
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB002,F,0 to 9,5
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB002,F,10 to 13,9
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB002,F,14 to 17,5
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB002,F,18 to 24,29
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB002,F,25 to 34,40
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB002,F,35 to 44,39
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB002,F,45 to 49,18
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB002,F,50 to 54,15
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB002,F,55 to 59,15
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB002,F,60 to 64,10
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB002,F,65 to 69,4
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB002,F,70 to 74,7
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB002,F,75 and over,5
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB002,M,0 to 9,4
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB002,M,10 to 13,15
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB002,M,14 to 17,11
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB002,M,18 to 24,51
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB002,M,25 to 34,64
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB002,M,35 to 44,39
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB002,M,45 to 49,23
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB002,M,50 to 54,24
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB002,M,55 to 59,24
