DATASET,YEAR,CCG_ONS_CODE,CCG_ODS_CODE,CCG_NAME,INDICATOR,SEX,AGE_BAND,VALUE
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB001,M,50 to 54,2474
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB001,M,55 to 59,2462
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB001,M,60 to 64,2308
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB001,M,65 to 69,2312
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB001,M,70 to 74,1970
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB001,M,75 and over,2943
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB002,ALL,ALL,435
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB002,F,0 to 9,5
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB002,F,10 to 13,2
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB002,F,14 to 17,1
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB002,F,18 to 24,33
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB002,F,25 to 34,37
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB002,F,35 to 44,33
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB002,F,45 to 49,15
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB002,F,50 to 54,13
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB002,F,55 to 59,13
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB002,F,60 to 64,8
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB002,F,65 to 69,3
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB002,F,70 to 74,7
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB002,F,75 and over,3
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB002,M,0 to 9,6
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB002,M,10 to 13,8
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB002,M,14 to 17,9
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB002,M,18 to 24,53
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB002,M,25 to 34,51
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB002,M,35 to 44,37
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB002,M,45 to 49,15
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB002,M,50 to 54,30
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB002,M,55 to 59,17
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB002,M,60 to 64,12
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB002,M,65 to 69,10
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB002,M,70 to 74,6
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB002,M,75 and over,8
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB003A,ALL,ALL,430
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB003A,F,0 to 9,6
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB003A,F,10 to 13,4
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB003A,F,14 to 17,2
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB003A,F,18 to 24,32
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB003A,F,25 to 34,41
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB003A,F,35 to 44,32
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB003A,F,45 to 49,15
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB003A,F,50 to 54,12
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB003A,F,55 to 59,13
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB003A,F,60 to 64,6
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB003A,F,65 to 69,3
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB003A,F,70 to 74,6
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB003A,F,75 and over,3
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB003A,M,0 to 9,6
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB003A,M,10 to 13,7
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB003A,M,14 to 17,10
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB003A,M,18 to 24,56
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB003A,M,25 to 34,53
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB003A,M,35 to 44,33
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB003A,M,45 to 49,13
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB003A,M,50 to 54,28
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB003A,M,55 to 59,17
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB003A,M,60 to 64,12
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB003A,M,65 to 69,9
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB003A,M,70 to 74,4
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB003A,M,75 and over,7
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB003B,ALL,ALL,65732
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB003B,F,0 to 9,3193
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB003B,F,10 to 13,1370
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB003B,F,14 to 17,1367
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB003B,F,18 to 24,2258
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB003B,F,25 to 34,3476
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB003B,F,35 to 44,3495
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB003B,F,45 to 49,2352
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB003B,F,50 to 54,2632
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB003B,F,55 to 59,2594
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB003B,F,60 to 64,2384
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB003B,F,65 to 69,2408
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB003B,F,70 to 74,2053
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB003B,F,75 and over,4047
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB003B,M,0 to 9,3438
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB003B,M,10 to 13,1449
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB003B,M,14 to 17,1351
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB003B,M,18 to 24,2325
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB003B,M,25 to 34,3476
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB003B,M,35 to 44,3533
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB003B,M,45 to 49,2140
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB003B,M,50 to 54,2446
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB003B,M,55 to 59,2445
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB003B,M,60 to 64,2296
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB003B,M,65 to 69,2302
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB003B,M,70 to 74,1966
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB003B,M,75 and over,2936
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB004,ALL,ALL,8
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB004,F,0 to 9,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB004,F,10 to 13,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB004,F,14 to 17,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB004,F,18 to 24,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB004,F,25 to 34,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB004,F,35 to 44,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB004,F,45 to 49,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB004,F,50 to 54,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB004,F,55 to 59,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB004,F,60 to 64,1
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB004,F,65 to 69,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB004,F,70 to 74,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB004,F,75 and over,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB004,M,0 to 9,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB004,M,10 to 13,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB004,M,14 to 17,1
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB004,M,18 to 24,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB004,M,25 to 34,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB004,M,35 to 44,1
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB004,M,45 to 49,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB004,M,50 to 54,1
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB004,M,55 to 59,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB004,M,60 to 64,1
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB004,M,65 to 69,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB004,M,70 to 74,2
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB004,M,75 and over,1
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB006,F,0 to 9,1
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB006,F,10 to 17,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB006,F,18 to 24,3
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB006,F,25 to 34,3
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB006,F,35 to 44,2
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB006,F,45 to 54,1
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB006,F,55 to 64,2
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB006,F,65 to 74,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB006,F,75 and over,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB006,M,0 to 9,2
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB006,M,10 to 17,6
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB006,M,18 to 24,3
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB006,M,25 to 34,3
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB006,M,35 to 44,4
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB006,M,45 to 54,5
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB006,M,55 to 64,6
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB006,M,65 to 74,2
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB006,M,75 and over,4
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB009,F,0 to 9,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB009,F,10 to 17,1
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB009,F,18 to 24,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB009,F,25 to 34,3
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB009,F,35 to 44,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB009,F,45 to 54,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB009,F,55 to 64,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB009,F,65 to 74,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB009,F,75 and over,1
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB009,M,0 to 9,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB009,M,10 to 17,3
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB009,M,18 to 24,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB009,M,25 to 34,2
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB009,M,35 to 44,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB009,M,45 to 54,3
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB009,M,55 to 64,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB009,M,65 to 74,1
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB009,M,75 and over,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB010,F,0 to 9,105
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB010,F,10 to 17,69
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB010,F,18 to 24,33
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB010,F,25 to 34,34
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB010,F,35 to 44,15
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB010,F,45 to 54,19
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB010,F,55 to 64,34
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB010,F,65 to 74,31
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB010,F,75 and over,97
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB010,M,0 to 9,151
