DATASET,YEAR,CCG_ONS_CODE,CCG_ODS_CODE,CCG_NAME,INDICATOR,SEX,AGE_BAND,VALUE
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDO1_REG,ALL,ALL,67048
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDO2_REG,ALL,ALL,65790
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB001,ALL,ALL,66164
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB001,F,0 to 9,3199
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB001,F,10 to 13,1374
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB001,F,14 to 17,1369
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB001,F,18 to 24,2290
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB001,F,25 to 34,3517
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB001,F,35 to 44,3527
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB001,F,45 to 49,2367
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB001,F,50 to 54,2644
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB001,F,55 to 59,2607
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB001,F,60 to 64,2390
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB001,F,65 to 69,2411
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB001,F,70 to 74,2059
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB001,F,75 and over,4050
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB001,M,0 to 9,3444
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB001,M,10 to 13,1457
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB001,M,14 to 17,1361
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB001,M,18 to 24,2381
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB001,M,25 to 34,3529
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB001,M,35 to 44,3566
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2016-17,E38000130,00L,NHS Northumberland CCG,LDOB001,M,45 to 49,2153
