DATASET,YEAR,GEOGRAPHY_CODE,SUB_ICB_LOC_CODE,SUB_ICB_LOC_NAME,INDICATOR,SEX,AGE_BAND,VALUE
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003B,F,65 to 69,2420
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003B,F,70 to 74,2349
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003B,F,75 and over,4217
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003B,M,0 to 9,3624
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003B,M,10 to 13,1545
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003B,M,14 to 17,1492
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003B,M,18 to 24,2309
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003B,M,25 to 34,3768
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003B,M,35 to 44,3705
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003B,M,45 to 49,2166
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003B,M,50 to 54,2519
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003B,M,55 to 59,2602
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003B,M,60 to 64,2477
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003B,M,65 to 69,2271
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003B,M,70 to 74,2314
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003B,M,75 and over,3255
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB004,ALL,ALL,4
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB004,F,0 to 9,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB004,F,10 to 13,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB004,F,14 to 17,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB004,F,18 to 24,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB004,F,25 to 34,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB004,F,35 to 44,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB004,F,45 to 49,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB004,F,50 to 54,1
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB004,F,55 to 59,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB004,F,60 to 64,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB004,F,65 to 69,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB004,F,70 to 74,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB004,F,75 and over,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB004,M,0 to 9,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB004,M,10 to 13,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB004,M,14 to 17,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB004,M,18 to 24,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB004,M,25 to 34,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB004,M,35 to 44,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB004,M,45 to 49,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB004,M,50 to 54,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB004,M,55 to 59,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB004,M,60 to 64,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB004,M,65 to 69,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB004,M,70 to 74,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB004,M,75 and over,3
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB006,F,0 to 9,1
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB006,F,10 to 17,5
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB006,F,18 to 24,5
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB006,F,25 to 34,8
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB006,F,35 to 44,7
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB006,F,45 to 54,4
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB006,F,55 to 64,2
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB006,F,65 to 74,2
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB006,F,75 and over,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB006,M,0 to 9,3
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB006,M,10 to 17,7
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB006,M,18 to 24,8
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB006,M,25 to 34,13
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB006,M,35 to 44,6
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB006,M,45 to 54,10
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB006,M,55 to 64,8
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB006,M,65 to 74,4
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB006,M,75 and over,1
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB009,F,0 to 9,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB009,F,10 to 17,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB009,F,18 to 24,1
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB009,F,25 to 34,1
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB009,F,35 to 44,2
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB009,F,45 to 54,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB009,F,55 to 64,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB009,F,65 to 74,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB009,F,75 and over,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB009,M,0 to 9,0
