DATASET,YEAR,GEOGRAPHY_CODE,SUB_ICB_LOC_CODE,SUB_ICB_LOC_NAME,INDICATOR,SEX,AGE_BAND,VALUE
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDO1_REG,ALL,ALL,70594
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDO2_REG,ALL,ALL,66563
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB001,ALL,ALL,69684
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB001,F,0 to 9,3361
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB001,F,10 to 13,1430
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB001,F,14 to 17,1500
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB001,F,18 to 24,2237
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB001,F,25 to 34,3764
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB001,F,35 to 44,3770
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB001,F,45 to 49,2228
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB001,F,50 to 54,2667
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB001,F,55 to 59,2802
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB001,F,60 to 64,2578
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB001,F,65 to 69,2425
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB001,F,70 to 74,2357
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB001,F,75 and over,4220
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB001,M,0 to 9,3632
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB001,M,10 to 13,1560
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB001,M,14 to 17,1504
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB001,M,18 to 24,2361
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB001,M,25 to 34,3831
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB001,M,35 to 44,3746
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB001,M,45 to 49,2185
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB001,M,50 to 54,2546
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB001,M,55 to 59,2626
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB001,M,60 to 64,2489
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB001,M,65 to 69,2282
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB001,M,70 to 74,2324
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB001,M,75 and over,3259
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB002,ALL,ALL,447
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB002,F,0 to 9,4
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB002,F,10 to 13,6
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB002,F,14 to 17,4
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB002,F,18 to 24,30
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB002,F,25 to 34,39
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB002,F,35 to 44,35
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB002,F,45 to 49,22
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB002,F,50 to 54,11
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB002,F,55 to 59,13
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB002,F,60 to 64,7
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB002,F,65 to 69,3
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB002,F,70 to 74,8
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB002,F,75 and over,3
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB002,M,0 to 9,6
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB002,M,10 to 13,11
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB002,M,14 to 17,10
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB002,M,18 to 24,47
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB002,M,25 to 34,55
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB002,M,35 to 44,38
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB002,M,45 to 49,16
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB002,M,50 to 54,21
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB002,M,55 to 59,23
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB002,M,60 to 64,9
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB002,M,65 to 69,10
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB002,M,70 to 74,8
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB002,M,75 and over,8
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003A,ALL,ALL,496
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003A,F,0 to 9,6
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003A,F,10 to 13,10
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003A,F,14 to 17,5
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003A,F,18 to 24,32
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003A,F,25 to 34,39
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003A,F,35 to 44,36
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003A,F,45 to 49,24
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003A,F,50 to 54,12
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003A,F,55 to 59,14
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003A,F,60 to 64,7
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003A,F,65 to 69,5
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003A,F,70 to 74,8
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003A,F,75 and over,3
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003A,M,0 to 9,7
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003A,M,10 to 13,14
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003A,M,14 to 17,12
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003A,M,18 to 24,51
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003A,M,25 to 34,63
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003A,M,35 to 44,41
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003A,M,45 to 49,19
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003A,M,50 to 54,27
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003A,M,55 to 59,24
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003A,M,60 to 64,12
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003A,M,65 to 69,11
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003A,M,70 to 74,10
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003A,M,75 and over,4
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003B,ALL,ALL,69185
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003B,F,0 to 9,3355
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003B,F,10 to 13,1420
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003B,F,14 to 17,1495
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003B,F,18 to 24,2205
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003B,F,25 to 34,3725
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003B,F,35 to 44,3734
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003B,F,45 to 49,2204
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003B,F,50 to 54,2655
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003B,F,55 to 59,2788
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2018-19,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003B,F,60 to 64,2571
