,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
32,RJ100,GUY'S AND ST THOMAS' HOSPITALS,Y56,Q71,TRUST OFFICES,GUY'S HOSPITAL,GREAT MAZE POND,LONDON,GREATER LONDON,SE1 9RT,19930401.0,,,,,,,,,,,0.0,,H,,,
33,RJ122,ST THOMAS' HOSPITAL,Y56,Q71,WESTMINSTER BRIDGE ROAD,,,LONDON,GREATER LONDON,SE1 7EH,19930401.0,,,,,,,,,,,0.0,,H,,,
34,RJ127,UNIVERSITY HOSPITAL LEWISHAM,Y56,Q71,LEWISHAM HIGH STREET,,,LONDON,GREATER LONDON,SE13 6LH,20050401.0,,,,,,,,,,,0.0,,H,,,
35,RJ128,KING'S COLLEGE HOSPITAL (DENMARK HILL),Y56,Q71,DENMARK HILL,,,LONDON,GREATER LONDON,SE5 9RS,20050401.0,,,,,,,,,,,0.0,,H,,,
36,RJ129,DULWICH COMMUNITY HOSPITAL,Y56,Q71,EAST DULWICH GROVE,,,LONDON,GREATER LONDON,SE22 8PT,20050401.0,,,,,,,,,,,0.0,,H,,,
37,RJ131,QUEEN ELIZABETH HOSPITAL,Y56,Q71,WOOLWICH STADIUM ROAD,WOOLWICH,,LONDON,GREATER LONDON,SE18 4QH,20050401.0,,,,,,,,,,,0.0,,H,,,
38,RJ252,BLACKHEATH HOSPITAL,Y56,Q71,40-42 LEE TERRACE,BLACKHEATH,,LONDON,GREATER LONDON,SE3 9UD,20151001.0,,,,,,,,,,,0.0,,H,,,
39,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,Y56,Q71,ST GEORGE'S HOSPITAL,BLACKSHAW ROAD,TOOTING,LONDON,,SW17 0QT,19930401.0,,,,,,,,,,,0.0,,H,,,
40,RKEHC,THE WHITTINGTON HOSPITAL AT HORNSEY CENTRAL,Y56,Q71,151 PARK ROAD,,,LONDON,GREATER LONDON,N8 8JD,20100401.0,,,,,,,,,,,0.0,,H,,,
41,RKENH,THE WHITTINGTON HOSPITAL AT NORTHERN HEALTH CENTRE,Y56,Q71,NORTHERN HEALTH CENTRE,580 HOLLOWAY ROAD,ISLINGTON,LONDON,GREATER LONDON,N7 6LB,20120401.0,,,,,,,,,,,0.0,,H,,,
42,RKL2C,OLDER PEOPLES DAY HOSPITAL,Y56,Q71,ST VINCENTS HOUSE,49 QUEEN CAROLINE STREET,,LONDON,GREATER LONDON,W6 9QH,20070401.0,,,,,,,,,,,0.0,,H,,,
43,RKL35,GUNNERSBURY DAY HOSPITAL,Y56,Q71,CLOISTER ROAD,ACTON,,LONDON,GREATER LONDON,W3 0DF,20010401.0,,,,,,,,,,,0.0,,H,,,
44,RP4,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,Y56,Q71,GREAT ORMOND STREET,,,LONDON,,WC1N 3JH,19940401.0,,,,,,,,,,,1.0,,H,,,
45,RP426,GOSH INPATIENTS AT CHELSEA AND WESTMINSTER HOSPITAL,Y56,Q71,CHELSEA & WESTMINSTER HOSPITAL NHS,369 FULHAM ROAD,,LONDON,GREATER LONDON,SW10 9NH,20151001.0,,,,,,,,,,,0.0,,H,,,
46,RPGAG,MEMORIAL HOSPITAL,Y56,Q71,SHOOTERS HILL,,WOOLWICH,LONDON,GREATER LONDON,SE18 3RG,20020401.0,,,,,,,,,,,0.0,,H,,,
47,RPGHP,ELTHAM COMMUNITY HOSPITAL,Y56,Q71,30 PASSEY PLACE,,,LONDON,GREATER LONDON,SE9 5DQ,20141001.0,,,,,,,,,,,0.0,,H,,,
48,RPY01,THE ROYAL MARSDEN HOSPITAL (LONDON),Y56,Q71,FULHAM ROAD,,,LONDON,GREATER LONDON,SW3 6JJ,20030401.0,,,,,,,,,,,0.0,,H,,,
49,RQX42,ST BARTHOLOMEWS HOSPITAL,Y56,Q71,57B WEST SMITHFIELD,,,LONDON,GREATER LONDON,EC1A 9DS,20101001.0,,,,,,,,,,,0.0,,H,,,
50,RQX43,ST CLEMENTS HOSPITAL,Y56,Q71,ST CLEMENTS HOSPITAL,22 COMMERCIAL STREET,,LONDON,GREATER LONDON,E1 6LP,20101001.0,,,,,,,,,,,0.0,,H,,,
51,RQY01,SPRINGFIELD UNIVERSITY HOSPITAL,Y56,Q71,61 GLENBURNIE ROAD,,,LONDON,GREATER LONDON,SW17 7DJ,19950401.0,,,,,,,,,,,0.0,,H,,,
52,RQY05,BARNES HOSPITAL,Y56,Q71,SOUTH WORPLE WAY,,,LONDON,GREATER LONDON,SW14 8SU,20010401.0,,,,,,,,,,,0.0,,H,,,
53,RQY42,NELSON HOSPITAL,Y56,Q71,KINGSTON ROAD,,,LONDON,GREATER LONDON,SW20 8DA,19950401.0,,,,,,,,,,,0.0,,H,,,
54,RQY54,OLD HOSPITAL CLOSE,Y56,Q71,BALHAM,,,LONDON,GREATER LONDON,SW12 8SR,20040401.0,,,,,,,,,,,0.0,,H,,,
55,RRU88,PTS ST PANCRAS HOSPITAL,Y56,Q71,ST. PANCRAS WAY,,,LONDON,GREATER LONDON,NW1 0PE,20061001.0,,,,,,,,,,,0.0,,H,,,
56,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,Y56,Q71,250 EUSTON ROAD,,,LONDON,,NW1 2PG,19960401.0,,,,,,,,,,,0.0,,H,,,
57,RRV60,THE ROYAL LONDON HOSPITAL FOR INTEGRATED MEDICINE,Y56,Q71,60 GREAT ORMOND STREET,,,LONDON,GREATER LONDON,WC1N 3HR,20020401.0,,,,,,,,,,,0.0,,H,,,
58,RRV80,UCLH OUTREACH: THE LISTER HOSPITAL,Y56,Q71,THE LISTER HOSPITAL,CHELSEA BRIDGE ROAD,,LONDON,GREATER LONDON,SW1W 8RH,20150401.0,,,,,,,,,,,0.0,,H,,,
59,RRV81,UCLH OUTREACH: PORTLAND HOSPITAL,Y56,Q71,THE PORTLAND HOSPITAL,209 GREAT PORTLAND STREET,,LONDON,GREATER LONDON,W1W 5AH,20150401.0,,,,,,,,,,,0.0,,H,,,
